,user_id,movie_names
0,1,"['Three Colors: Red', 'The 400 Blows', 'Sleepless in Seattle', 'Rocky Balboa']"
1,2,"['Four Rooms', 'Jarhead', ""Pirates of the Caribbean: Dead Man's Chest"", 'Talk to Her']"
2,3,"['Monsoon Wedding', 'Reservoir Dogs', 'Once Were Warriors', 'Sleepless in Seattle', 'The Third Man']"
3,4,"['Rebecca', 'Batman & Robin', 'Beauty and the Beast']"
4,5,"['Star Trek III: The Search for Spock', 'Terminator 3: Rise of the Machines', 'The Man with the Golden Arm', 'Murder She Said']"
6,7,"['A River Runs Through It', 'The Million Dollar Hotel', 'License to Wed']"
7,8,['28 Days Later']
8,9,"['48 Hrs.', 'Summer Storm', 'The Green Mile', 'The Terminal']"
9,10,"['48 Hrs.', 'Lost in Translation', 'Back to the Future Part II', 'Terminator 3: Rise of the Machines', 'Bang, Boom, Bang']"
10,11,"['Three Colors: Red', 'Back to the Future Part II']"
11,12,"['Dancer in the Dark', 'The Dark']"
12,13,"['The 13th Warrior', 'A Perfect Murder', 'Out of Time']"
13,14,"['A River Runs Through It', 'The Million Dollar Hotel', 'License to Wed']"
14,15,"['Judgment Night', 'Snatch', 'Dont Look Back', 'The 39 Steps', 'A River Runs Through It']"
15,16,"['Scarface', 'To Be or Not to Be', 'The 39 Steps']"
16,17,"['Solaris', 'Titanic', 'Point Break']"
17,18,"['Nausicaä of the Valley of the Wind', 'The Thomas Crown Affair']"
18,19,"['Brother', '7 Virgins', ""Antonia's Line"", 'Dreamgirls']"
19,20,"['48 Hrs.', ""Ocean's Eleven"", 'Ali: Fear Eats the Soul']"
20,21,"['A Time to Kill', 'Bell, Book and Candle', 'The Getaway']"
21,22,"['Three Colors: Red', ""Ocean's Twelve"", 'Star Trek V: The Final Frontier', 'The 39 Steps']"
22,23,['Once Were Warriors']
23,24,"['Ariel', 'Judgment Night', 'Dancer in the Dark', 'The Dark']"
24,25,"['Ariel', 'Metropolis', 'The Endless Summer']"
25,26,"['Twin Peaks: Fire Walk with Me', 'The Grudge 3']"
26,27,['Walk the Line']
27,28,"['The 39 Steps', 'The Million Dollar Hotel', 'Once Were Warriors', 'Sleepless in Seattle']"
28,29,"['The Dark', 'Three Colors: Red', ""Muriel's Wedding"", 'Terminator 3: Rise of the Machines', 'Summer Storm']"
29,30,"['Kill Bill: Vol. 1', 'Three Colors: Red', 'Scarface']"
30,31,"['A Brief History of Time', 'Houseboat', 'Bell, Book and Candle']"
31,32,"['The 39 Steps', 'Once Were Warriors', 'Wag the Dog', 'Titanic']"
32,33,['Metropolis']
33,34,"['Ariel', 'Judgment Night', 'Dancer in the Dark']"
34,35,"['Summer Storm', 'The Poseidon Adventure', 'The Big Sleep']"
35,36,"['Match Point', '28 Days Later', 'The City of Lost Children', 'Cars']"
36,37,"['48 Hrs.', 'Syriana']"
37,38,"['Beyond Silence', 'Blood Diamond', 'The Discovery of Heaven', 'The Driver']"
39,40,"['Four Rooms', 'American Beauty']"
40,41,"['A River Runs Through It', 'Terminator 3: Rise of the Machines']"
41,42,"['Miffo', 'Brothers']"
42,43,['Ariel']
43,44,"['Scarface', '48 Hrs.', 'Lost in Translation', 'Back to the Future Part II']"
45,46,"['Shadows in Paradise', 'Judgment Night', 'Dancer in the Dark', 'Metropolis']"
46,47,"['The Dark', 'Jarhead']"
47,48,"['Cat on a Hot Tin Roof', 'The Million Dollar Hotel', 'The Fountain', 'Infinity']"
48,49,"['Ariel', 'Metropolis']"
49,50,"['Terminator 3: Rise of the Machines', 'The Million Dollar Hotel', 'Monsoon Wedding', 'Once Were Warriors', 'The Passion of Joan of Arc']"
50,51,"['Scarface', 'Terminator 3: Rise of the Machines', 'The Million Dollar Hotel']"
51,52,"['Judgment Night', 'Armageddon', 'Italian for Beginners', 'The 39 Steps']"
52,53,"['Star Wars', '2001: A Space Odyssey']"
53,54,"['Four Rooms', 'Monsoon Wedding', 'Solaris', 'To Kill a Mockingbird']"
54,55,"['The Dark', 'Back to the Future', 'Scarface']"
55,56,"['Four Rooms', 'Armageddon']"
56,57,"['Los Olvidados', 'Hollywoodland', 'Stranger Than Fiction']"
57,58,"['Judgment Night', 'Dancer in the Dark', 'Metropolis', 'The Endless Summer']"
58,59,"['Walk on Water', '8 Mile', '48 Hrs.']"
59,60,"['Italian for Beginners', 'Lost in Translation', ""Ocean's Twelve"", 'Back to the Future Part II', 'Star Trek IV: The Voyage Home']"
60,61,"['To Be or Not to Be', 'Cat on a Hot Tin Roof', 'Summer Storm', 'Eyes Wide Shut', 'Bandyta']"
61,62,"['Ariel', 'Metropolis']"
62,63,"['Dancer in the Dark', 'Metropolis']"
63,64,"['Armageddon', 'Three Colors: Red', 'Man of Marble']"
64,65,"['Judgment Night', 'Star Wars', 'The Endless Summer', 'Kill Bill: Vol. 1']"
65,66,"['Pirates of the Caribbean: The Curse of the Black Pearl', 'Bollywood/Hollywood', 'Blackmail', 'The Grapes of Wrath', 'Monty Python and the Holy Grail']"
66,67,"['Three Colors: Red', '48 Hrs.', 'Back to the Future Part II']"
67,68,['Indiana Jones and the Last Crusade']
68,69,"['Rebecca', 'The Wanderers', 'A River Runs Through It', 'Men in Black II']"
69,70,"['The 400 Blows', 'The Wrong Trousers', 'Mahogany']"
70,71,"['28 Days Later', 'The White Sound', 'True Romance', 'Casino']"
71,72,"[""Pirates of the Caribbean: Dead Man's Chest"", 'Scarface', '48 Hrs.', 'The Killing', 'Lili Marleen']"
72,73,"['Scarface', 'Berlin is in Germany', 'Grizzly Man']"
73,74,"['Ariel', 'Forrest Gump']"
74,75,"['Three Colors: Red', '48 Hrs.']"
75,76,"['Metropolis', '48 Hrs.', 'The 39 Steps', 'The Million Dollar Hotel']"
76,77,"['Kill Bill: Vol. 1', 'Rebecca', 'The Man with the Golden Arm', 'Men in Black II']"
77,78,"['School of Rock', 'Secret Window', 'Bring It On', 'When Saturday Comes']"
78,79,"['Scarface', 'Saw II']"
79,80,"['Metropolis', 'The Endless Summer']"
80,81,"['The 39 Steps', 'Dogville']"
81,82,"['Three Colors: Red', 'Lost in Translation']"
82,83,"['The Dark', 'Three Colors: Red', 'Lost Highway']"
83,84,"['Run Lola Run', '48 Hrs.', '20,000 Leagues Under the Sea', 'Faster, Pussycat! Kill! Kill!']"
84,85,"['Vertigo', 'Pi']"
85,86,"['The 39 Steps', 'Once Were Warriors']"
86,87,"['Shadows in Paradise', 'Four Rooms', 'Judgment Night', '2001: A Space Odyssey']"
87,88,"['Three Colors: Red', '48 Hrs.', 'Lost in Translation', 'Live and Let Die']"
88,89,"['Kill Bill: Vol. 1', 'Three Colors: Red', 'The 39 Steps']"
89,90,"['Lucky Number Slevin', 'Willy Wonka & the Chocolate Factory', 'Klute', 'Interview with the Vampire']"
90,91,"['Ariel', 'Four Rooms', 'Judgment Night', 'Dancer in the Dark', 'The Dark']"
92,93,"['Four Rooms', 'Star Wars', 'Walk on Water']"
93,94,"['Judgment Night', 'The Endless Summer']"
94,95,"['The Dark', 'The Million Dollar Hotel', 'Sissi', 'Monsoon Wedding']"
95,96,"['Beverly Hills Cop III', 'The Wrong Trousers', 'The Poseidon Adventure', 'American Graffiti', 'King Kong vs. Godzilla']"
96,97,"['The Million Dollar Hotel', 'Reservoir Dogs', 'Once Were Warriors']"
97,98,"['Judgment Night', 'The Dark']"
98,99,"['The 39 Steps', 'Beauty and the Beast']"
100,101,"['Shadows in Paradise', 'Four Rooms', 'Judgment Night']"
101,102,"['The Man with the Golden Arm', ""Antonia's Line"", 'Birdman of Alcatraz', 'Escape from New York']"
102,103,[]
103,104,"['Charlie and the Chocolate Factory', 'Bandyta', 'Blackmail', 'Madagascar']"
104,105,['48 Hrs.']
105,106,"['Live and Let Die', 'Solaris', 'Arlington Road', 'Elevator to the Gallows']"
106,107,[]
107,108,"['The 39 Steps', 'The Million Dollar Hotel']"
108,109,"['Three Colors: Red', 'The Million Dollar Hotel', 'Solaris', 'Sleepless in Seattle']"
109,110,"['The 39 Steps', 'The Million Dollar Hotel', 'License to Wed', '5 Card Stud']"
110,111,"['Three Colors: Red', 'The 39 Steps']"
111,112,"['Ariel', 'American Beauty', 'Dancer in the Dark', 'The Dark']"
112,113,"['The 39 Steps', 'Light of Day']"
113,114,"['The Endless Summer', 'Scarface', '48 Hrs.', '20,000 Leagues Under the Sea']"
114,115,['Star Wars']
115,116,"['Ali: Fear Eats the Soul', 'Batman Returns', 'All the Way Boys', 'The 13th Warrior']"
116,117,"['Raiders of the Lost Ark', 'The War of the Roses', ""Dave Chappelle's Block Party"", 'Swimming Pool']"
117,118,"['Four Rooms', 'American Beauty', '2001: A Space Odyssey', 'The 39 Steps']"
118,119,"['Jarhead', ""Pirates of the Caribbean: Dead Man's Chest""]"
119,120,"['Ariel', 'American Beauty', 'Jarhead']"
121,122,"['Bollywood/Hollywood', 'Human Nature', 'Casino', 'Harry Potter and the Prisoner of Azkaban']"
122,123,['The Endless Summer']
123,124,"['8 Mile', 'The Discovery of Heaven']"
124,125,"['Twelve Monkeys', 'Leon: The Professional']"
125,126,"['Ariel', 'Armageddon', '48 Hrs.', 'Lost in Translation']"
126,127,['Judgment Night']
127,128,"['Three Colors: Red', 'The Million Dollar Hotel']"
128,129,['Scarface']
129,130,"['Short Circuit', 'The Mask of Fu Manchu']"
130,131,"['Shadows in Paradise', 'Judgment Night', 'The Fifth Element']"
131,132,"['Star Wars', 'The Endless Summer', 'Jarhead']"
132,133,"['Judgment Night', 'Dancer in the Dark', 'Jarhead']"
133,134,"['The Dark', 'All About My Mother', 'Zatoichi', 'Terminator 3: Rise of the Machines', ""Summer '04""]"
134,135,"['Ghost', 'The Day the Earth Stood Still']"
135,136,['The Tunnel']
136,137,"['My Life Without Me', 'The Big Blue', 'Live Flesh', 'The Boys from County Clare']"
137,138,"['The 39 Steps', 'The Million Dollar Hotel', 'Once Were Warriors', 'Sleepless in Seattle']"
138,139,"['Three Colors: Red', 'Monsoon Wedding', 'Basquiat', 'Wag the Dog', 'Solaris']"
139,140,"['Finding Nemo', 'The Men', 'The Beach', 'The Pawnshop']"
140,141,"['The Million Dollar Hotel', 'Once Were Warriors', 'Rocky Balboa']"
141,142,"['Four Rooms', 'Jarhead']"
143,144,"['Star Trek: Generations', 'Dogtown and Z-Boys', 'X-Men Origins: Wolverine']"
144,145,['Spider-Man 2']
145,146,"['Three Colors: Red', 'The Million Dollar Hotel', 'Once Were Warriors', 'Solaris']"
146,147,"['Terminator 3: Rise of the Machines', 'Once Were Warriors', 'Big Fish']"
147,148,['The 39 Steps']
148,149,"['The 39 Steps', 'The Million Dollar Hotel']"
149,150,"['Judgment Night', 'Star Wars', 'American Beauty', 'Dancer in the Dark']"
150,151,"['Shadows in Paradise', 'Star Wars', 'Metropolis', 'The Endless Summer']"
152,153,"['Judgment Night', 'Metropolis', 'Pirates of the Caribbean: The Curse of the Black Pearl']"
154,155,"['Snatch', 'Dont Look Back', 'The Million Dollar Hotel', 'True Romance']"
155,156,"['The Dark', 'Jarhead', ""Pirates of the Caribbean: Dead Man's Chest""]"
156,157,"['American Beauty', 'Metropolis']"
157,158,"['Three Colors: Red', 'Donnie Darko']"
158,159,"['The 39 Steps', 'Inspector Gadget', 'Monsieur Ibrahim', 'Harry Potter and the Prisoner of Azkaban']"
159,160,"['American Beauty', 'Jarhead']"
160,161,"['Million Dollar Baby', '48 Hrs.', 'Saw II']"
161,162,"['Ariel', 'The Endless Summer', 'Pirates of the Caribbean: The Curse of the Black Pearl']"
162,163,"['The King of Comedy', 'Fail-Safe', 'The Wrong Trousers']"
163,164,"['The 39 Steps', 'The Conversation']"
164,165,"['Secret Window', 'Manderlay', 'My Name Is Bruce', 'Holy Matrimony']"
165,166,"['The Million Dollar Hotel', 'Once Were Warriors', 'Silent Hill']"
166,167,"['The 400 Blows', 'The Big Blue', 'Dead Poets Society', 'Terminator 3: Rise of the Machines']"
167,168,"['Four Rooms', '8 Mile', 'Dirty Dancing', 'Run Lola Run']"
168,169,"['Back to the Future Part III', 'Rumble Fish', 'Transamerica', 'Birdman of Alcatraz']"
169,170,"['The 39 Steps', 'Underworld', 'Grbavica: The Land of My Dreams', 'The Million Dollar Hotel']"
170,171,"['Cat on a Hot Tin Roof', 'Underworld', 'Die Hard']"
172,173,"['The 39 Steps', 'Monsoon Wedding', 'Dawn of the Dead']"
173,174,"['Miami Vice', 'Star Trek II: The Wrath of Khan', 'Stand by Me']"
174,175,"['War of the Worlds', 'Monsoon Wedding', 'Sommersby']"
175,176,"['Forrest Gump', 'Metropolis', '9 Songs', 'Scarface']"
176,177,"['Star Trek III: The Search for Spock', 'Solaris', 'The Bodyguard', 'Farewell, My Lovely']"
177,178,"['Ariel', 'My Life Without Me']"
178,179,"['Shadows in Paradise', 'Four Rooms', 'Judgment Night']"
179,180,"['To Catch a Thief', 'Life Is Beautiful']"
180,181,"['Ariel', 'Kill Bill: Vol. 1', '20,000 Leagues Under the Sea', 'A Clockwork Orange']"
181,182,"['My Life Without Me', 'Predator 2', 'The Crime of Padre Amaro', 'Pünktchen und Anton']"
183,184,"['The Dark', 'The 39 Steps', 'Men in Black II', ""Monsieur  Hulot's Holiday"", 'Sleepless in Seattle']"
184,185,"['The Endless Summer', 'Nausicaä of the Valley of the Wind', 'Italian for Beginners', 'Lost in Translation']"
185,186,"['Saw II', 'Batman Returns', 'Finding Forrester']"
186,187,"['Walk the Line', 'Scarface', 'Rebecca', 'The 39 Steps']"
187,188,"['Dancer in the Dark', '48 Hrs.', 'Lost in Translation']"
188,189,"['Cat on a Hot Tin Roof', 'Underworld', 'Casino', 'Blackmail', 'Lolita']"
189,190,"['Once Were Warriors', 'Forces of Nature']"
190,191,"['Ariel', 'Shadows in Paradise', 'Four Rooms']"
191,192,"['Star Wars', 'The Endless Summer', 'Jarhead']"
192,193,"['Shadows in Paradise', 'Judgment Night']"
193,194,"['48 Hrs.', 'The Wages of Fear', 'Terminator 3: Rise of the Machines', 'The Million Dollar Hotel', 'Rain Man']"
194,195,"['Summer in Berlin', 'Greed']"
195,196,"['Shadows in Paradise', 'Four Rooms', 'Finding Nemo']"
196,197,"['Cube', 'Bend It Like Beckham', 'Bonnie and Clyde', 'The Hidden Fortress']"
197,198,['Metropolis']
198,199,['Star Wars']
199,200,"['The Dark', 'A River Runs Through It', 'American Graffiti']"
200,201,"['Star Wars', 'Dancer in the Dark', 'Metropolis', 'The Endless Summer']"
201,202,"[""Ocean's Twelve"", '20,000 Leagues Under the Sea', 'Gandhi', ""Rosemary's Baby"", 'Will Penny']"
202,203,['Solaris']
203,204,"['The 39 Steps', 'Sleepless in Seattle', 'Madagascar']"
204,205,"[""Ocean's Thirteen"", 'Kindergarten Cop', 'I Love You to Death']"
205,206,"['Terminator 3: Rise of the Machines', 'Once Were Warriors', 'Solaris', 'Sleepless in Seattle']"
206,207,"['48 Hrs.', 'Back to the Future Part II', 'Syriana', 'Terminator 3: Rise of the Machines', 'Grill Point']"
207,208,"['Begotten', 'The Wild Child', 'Rent', 'Exodus']"
208,209,['The Big Sleep']
209,210,"['Three Colors: Red', 'Sleepless in Seattle', 'Cars']"
210,211,"['Million Dollar Baby', 'Monsoon Wedding', 'Titanic']"
211,212,"['Snatch', 'Three Colors: Red', 'Live and Let Die']"
212,213,"['Star Wars', 'The Dark', 'Metropolis']"
214,215,"['48 Hrs.', 'The 39 Steps', 'The Million Dollar Hotel']"
215,216,"['The Next Best Thing', 'An Unfinished Life']"
216,217,"['Three Colors: Red', 'Back to the Future Part II', 'Terminator 3: Rise of the Machines']"
217,218,['Ariel']
218,219,"['Lucky Number Slevin', 'Bandyta', 'Rocky Balboa']"
219,220,"['Monsoon Wedding', 'The Big Sleep', 'The Good Shepherd', 'King Kong vs. Godzilla']"
220,221,"['The Killing', 'Notorious', 'The Wrong Trousers', ""Harry Potter and the Philosopher's Stone""]"
221,222,"['The 39 Steps', 'The Million Dollar Hotel', 'A Nightmare on Elm Street']"
222,223,"['Snatch', 'Batman Begins', 'The Murderers Are Among Us', 'The Magnificent Ambersons']"
223,224,"['The Endless Summer', 'Three Colors: Red']"
224,225,"['Ariel', 'Shadows in Paradise']"
225,226,"['Ghost Rider', 'A Time to Kill']"
226,227,"['Ariel', 'Back to the Future', 'Three Colors: Red']"
227,228,"[""Knockin' on Heaven's Door"", 'The 39 Steps', 'Grill Point', 'Monsoon Wedding']"
228,229,"['Ariel', 'Four Rooms']"
229,230,['Judgment Night']
230,231,"['Ariel', 'Dancer in the Dark']"
231,232,"['The Lord of the Rings', 'Once Were Warriors', 'The Hours', 'The Marriage of Maria Braun']"
232,233,"['Cool Hand Luke', 'Dog Day Afternoon', 'Nell']"
233,234,['Rebecca']
234,235,['Million Dollar Baby']
235,236,"['Star Wars', 'Pirates of the Caribbean: The Curse of the Black Pearl', 'Jarhead']"
236,237,"['Solaris', 'Young and Innocent', 'License to Wed', 'Boat']"
239,240,"['Metropolis', '20,000 Leagues Under the Sea']"
240,241,"['The 39 Steps', 'Grill Point', 'Jurassic Park']"
241,242,['Changing Lanes']
242,243,['Changing Lanes']
243,244,"['Notorious', 'The Wrong Trousers']"
244,245,"['The Dark', 'The 39 Steps', 'Bang, Boom, Bang', 'Reservoir Dogs']"
245,246,"['Rumble Fish', 'Terminator 3: Rise of the Machines', 'Summer Storm', 'Eyes Wide Shut']"
246,247,"['The 39 Steps', 'The Million Dollar Hotel', 'Batman Returns', 'Wag the Dog']"
247,248,"['Jarhead', '2001: A Space Odyssey']"
248,249,"['The Million Dollar Hotel', 'Once Were Warriors', 'Barren Lives', 'Sleepless in Seattle']"
249,250,"['Shadows in Paradise', 'Four Rooms', 'Star Wars']"
250,251,"['Judgment Night', 'Dancer in the Dark', 'The Fifth Element', 'Jarhead']"
251,252,"['The 39 Steps', 'Batman Returns', 'Silent Hill']"
252,253,"['Rebecca', 'Monsoon Wedding', 'Apollo 13']"
253,254,"['48 Hrs.', 'The Million Dollar Hotel', 'Terminator Salvation', 'Solaris', 'Cool Hand Luke']"
254,255,['Dancer in the Dark']
255,256,"['Run Lola Run', 'Back to the Future', 'Terminator 3: Rise of the Machines', 'The Million Dollar Hotel']"
256,257,"['Dancer in the Dark', 'Solaris', '25th Hour', 'Hidalgo']"
258,259,"['The Grapes of Wrath', ""Rosemary's Baby"", 'Cool Hand Luke']"
259,260,"['The 39 Steps', 'Terminator 3: Rise of the Machines', 'The Million Dollar Hotel']"
260,261,"['Ariel', 'Shadows in Paradise', 'Four Rooms']"
261,262,"['Three Colors: Red', 'The 39 Steps', 'A River Runs Through It', 'The Million Dollar Hotel']"
262,263,"['Jay and Silent Bob Strike Back', 'Married to the Mob', 'Local Color', 'Reign Over Me']"
263,264,"[""Pirates of the Caribbean: Dead Man's Chest"", 'Faster, Pussycat! Kill! Kill!']"
264,265,"['Rumble Fish', 'Stand by Me', 'Batman Begins', 'Summer Storm']"
265,266,"[""Ocean's Twelve"", 'Blackmail']"
266,267,"['Ariel', 'Metropolis', 'Three Colors: Red', 'The 39 Steps']"
268,269,"['Donnie Darko', '48 Hrs.']"
269,270,"['Casablanca', 'Finding Forrester', 'The Time Machine', 'Les Cousins']"
270,271,['Citizen Kane']
271,272,"['The Wrong Trousers', 'Greed', '28 Weeks Later']"
272,273,"['Three Colors: Red', 'The 39 Steps', 'The Million Dollar Hotel']"
273,274,"['Star Trek V: The Final Frontier', '20,000 Leagues Under the Sea', 'Zatoichi', 'Dawn of the Dead']"
274,275,"['Terminator 3: Rise of the Machines', 'Once Were Warriors', 'The Marriage of Maria Braun', 'The Big Sleep']"
275,276,"['Finding Nemo', 'The Fifth Element', 'My Life Without Me', 'Predator 2']"
276,277,"['Twelve Monkeys', 'Million Dollar Baby', 'Three Colors: Red', 'Back to the Future Part II']"
277,278,"['The Brasher Doubloon', 'The Men', 'Star Wars: Episode II - Attack of the Clones', 'Don Juan DeMarco']"
278,279,['Jarhead']
279,280,"['Rebecca', 'The 39 Steps']"
280,281,"['Italian for Beginners', 'Nostalgia']"
281,282,"['Jarhead', 'Armageddon', 'Donnie Darko', 'Beauty and the Beast']"
282,283,"['Monsoon Wedding', 'Big Fish']"
283,284,"['Judgment Night', '48 Hrs.']"
284,285,"[""Don't Worry, I'm Fine"", 'Malcolm X', 'Say Anything...']"
