,title,recommended_movies
0,Toy Story,"['Toy Story 2', 'The Champ', 'Carried Away', 'The Million Dollar Duck', 'Condorman']"
1,Jumanji,"['Brainscan', 'The Last Starfighter', 'Rollerball', 'Dungeons & Dragons', 'Word Wars']"
2,Grumpier Old Men,"[""Gone Fishin'"", 'The Incredible Mr. Limpet', 'Peculiarities of the National Fishing', 'Snow days', 'Grumpy Old Men']"
3,Waiting to Exhale,"['Snow days', 'Worth Winning', 'The Girl', 'Next Stop Wonderland', 'About Last Night...']"
4,Father of the Bride Part II,"['Father of the Bride', 'About Schmidt', 'All Night Long', 'Kuffs', ""My Boss's Daughter""]"
5,Heat,"['No Good Deed', 'Blood and Wine', 'Night Moves', 'Le Cercle Rouge', 'The Long Goodbye']"
6,Sabrina,"['Snow days', ""What's Eating Gilbert Grape"", 'Siam Sunset', 'A Smile Like Yours', ""My Boss's Daughter""]"
7,Tom and Huck,"['Kidnapped', 'White Fang 2: Myth of the White Wolf', 'Jerry and Tom', 'The Pallbearer', 'Striking Distance']"
8,Sudden Death,"['Knock Off', 'Commando', 'Nighthawks', 'Die Hard', 'Tainted']"
9,GoldenEye,"['Octopussy', 'Live and Let Die', 'Licence to Kill', 'The Living Daylights', 'Dr. No']"
10,The American President,"['The Merry Widow', ""The Courtship of Eddie's Father"", 'The Rose Tattoo', 'Snow days', 'A Man and a Woman']"
11,Dracula: Dead and Loving It,"['Horror of Dracula', 'Dracula 2000', 'Scars of Dracula', 'Dracula A.D. 1972', 'Blood for Dracula']"
12,Balto,"['The Fox and the Hound', 'White Fang 2: Myth of the White Wolf', 'Benji', 'Snow Dogs', 'Bad Moon']"
13,Nixon,"['Wilson', 'Secret Honor', 'Sunrise at Campobello', 'Raining Stones', 'Rembrandt']"
14,Cutthroat Island,"['Captain Kidd', 'The Black Pirate', 'The Pirate', 'Treasure Island', 'The Thin Man Goes Home']"
15,Casino,"['The Proprietor', 'Slaves of New York', 'Bird of Prey', 'Donnie Brasco', 'The Night of the Following Day']"
16,Sense and Sensibility,"['About Schmidt', 'The Paper Chase', 'The Aviator', 'Audrey Rose', 'Santitos']"
17,Four Rooms,"['California Suite', 'Guest House Paradiso', 'Dirty Pretty Things', 'The Million Dollar Hotel', 'Mystery Train']"
18,Ace Ventura: When Nature Calls,"['The Sheltering Sky', 'Hatari!', 'Road to Zanzibar', 'The Lion King 1½', 'The Leech Woman']"
19,Money Train,"['Shakedown', 'True Confessions', 'Showtime', 'Code of Silence', 'Next of Kin']"
20,Get Shorty,"['S.O.B.', 'Swimming with Sharks', 'Fury', 'Song of the Thin Man', 'Johnny Dangerously']"
